,Year,Month,Labor Force,Employed,Unemployed,Area Rate,Massachusetts Rate,date
13,2020,January,398406,386780,11626,2.9,3.5,2020-01-01
14,2020,February,399212,388385,10827,2.7,3.3,2020-02-01
15,2020,March,393652,381681,11971,3.0,3.6,2020-03-01
16,2020,April,361641,304310,57331,15.9,16.7,2020-04-01
17,2020,May,381721,323969,57752,15.1,15.6,2020-05-01
18,2020,June,393701,339136,54565,13.9,14.5,2020-06-01
19,2020,July,395197,346500,48697,12.3,13.0,2020-07-01
20,2020,August,394626,355997,38629,9.8,10.3,2020-08-01
21,2020,September,390652,353952,36700,9.4,9.8,2020-09-01
22,2020,October,392323,361644,30679,7.8,8.1,2020-10-01
23,2020,November,390916,362558,28358,7.3,7.6,2020-11-01
24,2020,December,388225,362457,25768,6.6,7.4,2020-12-01
0,2021,January,386547,360991,25556,6.6,7.7,2021-01-01
1,2021,February,387691,363342,24349,6.3,7.2,2021-02-01
2,2021,March,388680,365881,22799,5.9,6.7,2021-03-01
3,2021,April,387671,366547,21124,5.4,6.1,2021-04-01
4,2021,May,386745,366366,20379,5.3,5.8,2021-05-01
5,2021,June,392143,369878,22265,5.7,6.2,2021-06-01
6,2021,July,393960,372576,21384,5.4,5.9,2021-07-01
7,2021,August,393990,374574,19416,4.9,5.4,2021-08-01
8,2021,September,389095,371048,18047,4.6,5.0,2021-09-01
9,2021,October,392284,375757,16527,4.2,4.6,2021-10-01
10,2021,November,394483,379318,15165,3.8,4.2,2021-11-01
11,2021,December,393550,379370,14180,3.6,4.1,2021-12-01
